Site,Project,Wetland Type,Latitude,Longitude,County,Ecoregion,Mitigation Site Type,Long Term,Year Project Began,Year Project Ended,Vegetation,Macroinvertebrates,Amphibians,Soil Chemistry,Water Quality,Hydrology,Rapid Assessments
NC12-01,ELI Restoration,Riverine Swamp Forest,36.096591,-80.524527,Yadkin,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-02,ELI Restoration,Pine Flat,35.354484,-78.281545,Johnston,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-03,ELI Restoration,Bottomland Hardwood Forest,35.478841,-77.858425,Wayne,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-05,ELI Restoration,Headwater,35.48508,-77.86375,Wayne,Coastal Plain,Mitigation Bank,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-06,ELI Restoration,Riverine Swamp Forest,35.499946,-77.868797,Wayne,Coastal Plain,Mitigation Bank,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-07,ELI Restoration,Riverine Swamp Forest,35.01564,-77.569014,Jones,Coastal Plain,Mitigation Bank,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-09,ELI Restoration,Riverine Swamp Forest,35.90377,-76.16261,Tyrrell,Coastal Plain,Mitigation Bank,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-10,ELI Restoration,Headwater,35.49324,-77.866866,Wayne,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-12,ELI Restoration,Estuarine Woody,35.39663,-76.29622,Hyde,Coastal Plain,Private,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-17,ELI Restoration,Bottomland Hardwood Forest,35.306999,-80.704987,Mecklenburg,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-18,ELI Restoration,Riverine Swamp Forest,34.85409,-78.75468,Cumberland,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-20,ELI Restoration,Non-tidal Freshwater Marsh,36.143003,-81.859679,Avery,Mountain,Private,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-21,ELI Restoration,Headwater,35.729469,-80.754345,Iredell,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-22,ELI Restoration,Non-tidal Freshwater Marsh,36.143991,-81.860392,Avery,Mountain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-25,ELI Restoration,Riverine Swamp Forest,36.11885,-76.85033,Bertie,Coastal Plain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-26,ELI Restoration,Riverine Swamp Forest,35.935765,-80.118469,Davidson,Piedmont,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-27,ELI Restoration,Pine Flat,34.866615,-80.048285,Anson,Piedmont,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-28,ELI Restoration,Pine Flat,34.8918,-77.65331,Onslow,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-30,ELI Restoration,Bottomland Hardwood Forest,35.96606,-78.99873,Durham,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-33,ELI Restoration,Bottomland Hardwood Forest,35.580196,-81.861739,McDowell,Mountain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-34,ELI Restoration,Riverine Swamp Forest,36.316571,-77.660313,Halifax,Coastal Plain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-36,ELI Restoration,Pine Flat,35.79964,-76.858,Martin,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-37,ELI Restoration,Headwater,35.757568,-80.647411,Rowan,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-38,ELI Restoration,Bottomland Hardwood Forest,36.06367,-78.27978,Franklin,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-39,ELI Restoration,Headwater,34.865913,-77.507518,Onslow,Coastal Plain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-41,ELI Restoration,Bottomland Hardwood Forest,34.866098,-80.05321,Anson,Piedmont,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-42,ELI Restoration,Non-tidal Freshwater Marsh,35.465329,-76.385451,Hyde,Coastal Plain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-43,ELI Restoration,Bottomland Hardwood Forest,35.381509,-78.279503,Johnston,Coastal Plain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-44,ELI Restoration,Riverine Swamp Forest,36.32134,-77.659489,Halifax,Coastal Plain,,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
NC12-46,ELI Restoration,Non-tidal Freshwater Marsh,35.799297,-76.860073,Martin,Coastal Plain,In-lieu Fee,N,2012,2012,Yes,No,No,Yes,Yes,No,Yes
Belton Creek,Field Verification,Basin,36.24327351,-78.59451671,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Bluegreen Golf,Field Verification,Basin,33.978464,-78.242453,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Dargan,Field Verification,Basin,36.3621,-78.625352,Granville,Piedmont,,Y,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Dean,Field Verification,Basin,36.27997,-78.613229,Granville,Piedmont,,Y,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Doe Creek,Field Verification,Riverine Swamp Forest,34.00477168,-78.27963313,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Eastwood,Field Verification,Basin,36.3711084,-78.6033327,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Fairport,Field Verification,Bottomland Hardwood Forest,36.27029231,-78.56822404,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Goldston,Field Verification,Basin,36.2718914,-78.60483485,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Gray,Field Verification,Bottomland Hardwood Forest,36.18276023,-78.55937604,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Hancock,Field Verification,Bottomland Hardwood Forest,36.31495128,-78.56427664,Granville,Piedmont,,Y,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
