"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","Year_start","end_date","Year_end","count_nu","period","county"
"79","USGS","02043410","NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC","ST",36.5122222,-76.0866667,"S","NAD83",10,1,"NGVD29","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2006-09-25,"2006",2007-04-24,"2007",2,211,"currituck:main"
"98","USGS","02043410","NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC","ST",36.5122222,-76.0866667,"S","NAD83",10,1,"NGVD29","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2006-09-25,"2006",2007-04-24,"2007",2,211,"currituck:main"
"153","USGS","02043415","TULL CREEK AT SR 1222 NEAR CURRITUCK, NC","ST",36.49638889,-76.0841667,"S","NAD83",10,1,"NGVD29","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2006-09-25,"2006",2007-04-24,"2007",2,211,"currituck:main"
"172","USGS","02043415","TULL CREEK AT SR 1222 NEAR CURRITUCK, NC","ST",36.49638889,-76.0841667,"S","NAD83",10,1,"NGVD29","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2006-09-25,"2006",2007-04-24,"2007",2,211,"currituck:main"
"208","USGS","0204342510","CURRITUCK SOUND AT BELL ISLAND, NC CU1","ES",36.42876707,-75.9668689,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2012-08-01,"2012",2014-02-19,"2014",13,567,NA
"278","USGS","0204342510","CURRITUCK SOUND AT BELL ISLAND, NC CU1","ES",36.42876707,-75.9668689,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2012-08-01,"2012",2014-02-19,"2014",13,567,NA
"346","USGS","02043430","UPPER CURRITUCK SOUND NEAR COROLLA, NC","ES",36.39527778,-75.8425,"S","NAD83",0,5,"NGVD29","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2006-10-31,"2006",2012-08-29,"2012",3,2129,"currituck:spit"
"389","USGS","02043430","UPPER CURRITUCK SOUND NEAR COROLLA, NC","ES",36.39527778,-75.8425,"S","NAD83",0,5,"NGVD29","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2006-10-31,"2006",2012-08-29,"2012",3,2129,"currituck:spit"
"429","USGS","0204343500","INTRACOASTAL WATERWAY AT COINJOCK, NC CU2","ST-CA",36.34293567,-75.9538114,"S","NAD83",10,1,"NGVD29","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2006-08-29,"2006",2006-08-29,"2006",1,0,"currituck:main"
"448","USGS","0204343500","INTRACOASTAL WATERWAY AT COINJOCK, NC CU2","ST-CA",36.34293567,-75.9538114,"S","NAD83",10,1,"NGVD29","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2006-08-29,"2006",2006-08-29,"2006",1,0,"currituck:main"
"515","USGS","02043460","CURRITUCK SOUND OFF DEWS ISLAND NR JARVISBURG, NC","ES",36.2001621,-75.816301,"H","NAD83",0,5,"NGVD29","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2006-08-29,"2006",2014-02-19,"2014",15,2731,NA
"562","USGS","02043460","CURRITUCK SOUND OFF DEWS ISLAND NR JARVISBURG, NC","ES",36.2001621,-75.816301,"H","NAD83",0,5,"NGVD29","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2006-08-29,"2006",2014-02-19,"2014",15,2731,NA
"650","USGS","0204347500","CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC","ES",36.0868308,-75.7679607,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2006-08-17,"2006",2007-07-31,"2007",3,348,NA
"667","USGS","0204347500","CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC","ES",36.0868308,-75.7679607,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2006-08-17,"2006",2007-07-31,"2007",3,348,NA
"690","USGS","0204347502","CURRITUCK SOUND BLW U.S. HWY 158 NR KITTY HAWK, NC","ES",36.0908333,-75.7430556,"U","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2012-08-07,"2012",2014-02-19,"2014",13,561,"currituck:spit"
"727","USGS","0204347502","CURRITUCK SOUND BLW U.S. HWY 158 NR KITTY HAWK, NC","ES",36.0908333,-75.7430556,"U","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2012-08-07,"2012",2014-02-19,"2014",13,561,"currituck:spit"
"766","USGS","02043650","NORTH RIVER BELOW BUCK ISLAND NEAR GRANDY, NC","ST",36.25194444,-75.94138889,"U","NAD83",0,1.6,"NAVD88","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2012-08-02,"2012",2014-02-19,"2014",13,566,NA
"834","USGS","02043650","NORTH RIVER BELOW BUCK ISLAND NEAR GRANDY, NC","ST",36.25194444,-75.94138889,"U","NAD83",0,1.6,"NAVD88","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2012-08-02,"2012",2014-02-19,"2014",13,566,NA
"883","USGS","0204378000","NEWLAND CANAL NEAR ACORN HILL, NC","ST-CA",36.43348707,-76.47966789,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1995-01-27,"1995",1995-06-07,"1995",3,131,"gates"
"913","USGS","0204378000","NEWLAND CANAL NEAR ACORN HILL, NC","ST-CA",36.43348707,-76.47966789,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",1995-01-27,"1995",1995-06-07,"1995",3,131,"gates"
"947","USGS","02043814","NEWLAND CANAL NR LYNCHS CORNER, NC","ST-CA",36.41876518,-76.398831,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1995-01-27,"1995",1995-06-07,"1995",3,131,"pasquotank"
"1004","USGS","02043814","NEWLAND CANAL NR LYNCHS CORNER, NC","ST-CA",36.41876518,-76.398831,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",1995-01-27,"1995",1995-06-07,"1995",3,131,"pasquotank"
"1066","USGS","02043852","PASQUOTANK RIVER NR ELIZABETH CITY, NC","ST",36.3626552,-76.2527135,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1961-10-01,"1961",1965-09-01,"1965",56,1431,"pasquotank"
"1084","USGS","02043852","PASQUOTANK RIVER NR ELIZABETH CITY, NC","ST",36.3626552,-76.2527135,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",1961-10-01,"1961",1965-09-01,"1965",56,1431,"pasquotank"
"1132","USGS","0204386000","KNOBBS CR AT SR1332 NR ELIZABETH CITY, NC","ST",36.32376706,-76.2441017,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1995-01-26,"1995",1995-09-12,"1995",4,229,"pasquotank"
"1186","USGS","0204386000","KNOBBS CR AT SR1332 NR ELIZABETH CITY, NC","ST",36.32376706,-76.2441017,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",1995-01-26,"1995",1995-09-12,"1995",4,229,"pasquotank"
"1261","USGS","02043862","PASQUOTANK R AT ELIZABETH CITY, NC","ST",36.30120278,-76.217225,"H","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1962-02-23,"1962",1973-03-20,"1973",35,4043,"pasquotank"
"1262","USGS","02043862","PASQUOTANK R AT ELIZABETH CITY, NC","ST",36.30120278,-76.217225,"H","NAD83",NA,NA,NA,"03010205","qw","00620",NA,"0",NA,"wat","NUT","197186","0",1958-01-01,"1958",1973-05-14,"1973",18,5612,"pasquotank"
"1308","USGS","02043862","PASQUOTANK R AT ELIZABETH CITY, NC","ST",36.30120278,-76.217225,"H","NAD83",NA,NA,NA,"03010205","qw","71850",NA,"0",NA,"wat","NUT","197186","0",1958-01-01,"1958",1959-09-07,"1959",17,614,"pasquotank"
"1309","USGS","02043862","PASQUOTANK R AT ELIZABETH CITY, NC","ST",36.30120278,-76.217225,"H","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",1962-02-23,"1962",1973-03-20,"1973",31,4043,"pasquotank"
"1331","USGS","02043869","PASQUOTANK R AT COBB PT NR ELIZABETH CITY, NC","ST",36.28888889,-76.1886111,"U","NAD83",0,1.6,"NAVD88","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2012-07-24,"2012",2012-08-29,"2012",2,36,"pasquotank"
"1399","USGS","02043869","PASQUOTANK R AT COBB PT NR ELIZABETH CITY, NC","ST",36.28888889,-76.1886111,"U","NAD83",0,1.6,"NAVD88","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2012-07-24,"2012",2012-08-29,"2012",2,36,"pasquotank"
"1473","USGS","0204387900","PASQUOTANK R AT LIGHT 1 NEAR TEXAS, NC","ES",36.15182524,-76.0213111,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2012-07-18,"2012",2012-07-18,"2012",1,0,NA
"1509","USGS","0204387900","PASQUOTANK R AT LIGHT 1 NEAR TEXAS, NC","ES",36.15182524,-76.0213111,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2012-07-18,"2012",2012-07-18,"2012",1,0,NA
"1541","USGS","02043884","LITTLE RIVER NEAR WEEKSVILLE, NC","ST",36.1308333,-76.2136111,"U","NAD83",0,1.6,"NAVD88","03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",2012-07-24,"2012",2014-02-18,"2014",14,574,NA
"1611","USGS","02043884","LITTLE RIVER NEAR WEEKSVILLE, NC","ST",36.1308333,-76.2136111,"U","NAD83",0,1.6,"NAVD88","03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",2012-07-24,"2012",2014-02-18,"2014",14,574,NA
"1662","USGS","0204388500","PERQUIMANS R AT SR1204 AT WHITESTON, NC","ST",36.33071089,-76.5007776,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1995-01-26,"1995",1995-09-12,"1995",4,229,"perquimans"
"1719","USGS","0204388500","PERQUIMANS R AT SR1204 AT WHITESTON, NC","ST",36.33071089,-76.5007776,"S","NAD83",NA,NA,NA,"03010205","qw","71851",NA,"0",NA,"wat","NUT","197186","0",1995-01-26,"1995",1995-09-12,"1995",4,229,"perquimans"
"1788","USGS","0204388850","GOODWIN MILL CR AT SR1111 NR BELVIDERE, NC","ST",36.23987894,-76.5507774,"S","NAD83",NA,NA,NA,"03010205","qw","00618",NA,"0",NA,"wat","NUT","197186","0",1995-01-24,"1995",1995-09-12,"1995",4,231,"perquimans"
