"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","Year_start","end_date","Year_end","count_nu","period","county"
"1","USGS","02043410","NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC","ST",36.5122222,-76.0866667,"S","NAD83",10,1,"NGVD29","03010205","dv","00095","00001","83154",NA,"wat",NA,"1646694","0",2006-03-04,"2006",2007-06-19,"2007",428,472,"currituck:main"
"2","USGS","02043410","NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC","ST",36.5122222,-76.0866667,"S","NAD83",10,1,"NGVD29","03010205","dv","00095","00002","83155",NA,"wat",NA,"1646694","0",2006-03-04,"2006",2007-06-19,"2007",428,472,"currituck:main"
"3","USGS","02043410","NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC","ST",36.5122222,-76.0866667,"S","NAD83",10,1,"NGVD29","03010205","dv","00095","00003","83156",NA,"wat",NA,"1646694","0",2006-03-04,"2006",2007-06-19,"2007",428,472,"currituck:main"
"4","USGS","02043410","NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC","ST",36.5122222,-76.0866667,"S","NAD83",10,1,"NGVD29","03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",2006-09-25,"2006",2007-04-24,"2007",2,211,"currituck:main"
"5","USGS","02043415","TULL CREEK AT SR 1222 NEAR CURRITUCK, NC","ST",36.49638889,-76.0841667,"S","NAD83",10,1,"NGVD29","03010205","dv","00095","00001","83191",NA,"wat",NA,"1646694","0",2006-02-18,"2006",2007-06-19,"2007",482,486,"currituck:main"
"6","USGS","02043415","TULL CREEK AT SR 1222 NEAR CURRITUCK, NC","ST",36.49638889,-76.0841667,"S","NAD83",10,1,"NGVD29","03010205","dv","00095","00002","83192",NA,"wat",NA,"1646694","0",2006-02-18,"2006",2007-06-19,"2007",482,486,"currituck:main"
"7","USGS","02043415","TULL CREEK AT SR 1222 NEAR CURRITUCK, NC","ST",36.49638889,-76.0841667,"S","NAD83",10,1,"NGVD29","03010205","dv","00095","00003","83193",NA,"wat",NA,"1646694","0",2006-02-18,"2006",2007-06-19,"2007",482,486,"currituck:main"
"8","USGS","02043415","TULL CREEK AT SR 1222 NEAR CURRITUCK, NC","ST",36.49638889,-76.0841667,"S","NAD83",10,1,"NGVD29","03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",2006-09-25,"2006",2007-04-24,"2007",2,211,"currituck:main"
"9","USGS","0204342510","CURRITUCK SOUND AT BELL ISLAND, NC CU1","ES",36.42876707,-75.9668689,"S","NAD83",NA,NA,NA,"03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",2012-08-01,"2012",2014-02-19,"2014",13,567,NA
"10","USGS","02043430","UPPER CURRITUCK SOUND NEAR COROLLA, NC","ES",36.39527778,-75.8425,"S","NAD83",0,5,"NGVD29","03010205","dv","00095","00001","323909",NA,"wat",NA,"1646694","0",2006-04-13,"2006",2007-07-29,"2007",450,472,"currituck:spit"
"11","USGS","02043430","UPPER CURRITUCK SOUND NEAR COROLLA, NC","ES",36.39527778,-75.8425,"S","NAD83",0,5,"NGVD29","03010205","dv","00095","00002","83228",NA,"wat",NA,"1646694","0",2006-04-13,"2006",2007-07-29,"2007",450,472,"currituck:spit"
"12","USGS","02043430","UPPER CURRITUCK SOUND NEAR COROLLA, NC","ES",36.39527778,-75.8425,"S","NAD83",0,5,"NGVD29","03010205","dv","00095","00003","323908",NA,"wat",NA,"1646694","0",2006-04-13,"2006",2007-07-29,"2007",450,472,"currituck:spit"
"13","USGS","02043430","UPPER CURRITUCK SOUND NEAR COROLLA, NC","ES",36.39527778,-75.8425,"S","NAD83",0,5,"NGVD29","03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",2006-10-31,"2006",2012-08-29,"2012",4,2129,"currituck:spit"
"14","USGS","0204343500","INTRACOASTAL WATERWAY AT COINJOCK, NC CU2","ST-CA",36.34293567,-75.9538114,"S","NAD83",10,1,"NGVD29","03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",2006-08-29,"2006",2006-08-29,"2006",1,0,"currituck:main"
"15","USGS","02043460","CURRITUCK SOUND OFF DEWS ISLAND NR JARVISBURG, NC","ES",36.2001621,-75.816301,"H","NAD83",0,5,"NGVD29","03010205","dv","00095","00001","83264",NA,"wat",NA,"1646694","0",2006-04-25,"2006",2007-06-20,"2007",401,421,NA
"16","USGS","02043460","CURRITUCK SOUND OFF DEWS ISLAND NR JARVISBURG, NC","ES",36.2001621,-75.816301,"H","NAD83",0,5,"NGVD29","03010205","dv","00095","00002","83265",NA,"wat",NA,"1646694","0",2006-04-25,"2006",2007-06-20,"2007",401,421,NA
"17","USGS","02043460","CURRITUCK SOUND OFF DEWS ISLAND NR JARVISBURG, NC","ES",36.2001621,-75.816301,"H","NAD83",0,5,"NGVD29","03010205","dv","00095","00003","83266",NA,"wat",NA,"1646694","0",2006-04-25,"2006",2007-06-20,"2007",401,421,NA
"18","USGS","02043460","CURRITUCK SOUND OFF DEWS ISLAND NR JARVISBURG, NC","ES",36.2001621,-75.816301,"H","NAD83",0,5,"NGVD29","03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",2006-08-29,"2006",2014-02-19,"2014",15,2731,NA
"19","USGS","0204347500","CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC","ES",36.0868308,-75.7679607,"S","NAD83",NA,NA,NA,"03010205","dv","00095","00001","83298","TOP","wat",NA,"1646694","0",1990-01-13,"1990",2007-07-30,"2007",1517,6407,NA
"20","USGS","0204347500","CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC","ES",36.0868308,-75.7679607,"S","NAD83",NA,NA,NA,"03010205","dv","00095","00002","83299","TOP","wat",NA,"1646694","0",1990-01-13,"1990",2007-07-30,"2007",1517,6407,NA
"21","USGS","0204347500","CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC","ES",36.0868308,-75.7679607,"S","NAD83",NA,NA,NA,"03010205","dv","00095","00003","83300","TOP","wat",NA,"1646694","0",1990-01-13,"1990",2007-07-30,"2007",1517,6407,NA
"22","USGS","0204347500","CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC","ES",36.0868308,-75.7679607,"S","NAD83",NA,NA,NA,"03010205","qw","00095",NA,"0",NA,"wat","PHY","1646694","0",1990-10-04,"1990",2007-07-31,"2007",119,6144,NA
